"","Site Name","NDSI_select","BIO_select","ANT_select","ACI_select","ADI_select","AEI_select","BI_select"
"1","Braod Meadow Brook",0.184776657923871,1.30804748964849,0.744729995158985,7812.35089857904,0.840221868686869,0.774500151515152,6.5764603738531
"2","Burncoat Pond",0.836058052432813,1.81978296557079,0.17612897202994,7889.78771413913,1.25454294444444,0.654951388888889,11.598200867455
"3","Cooks Canyon",0.666334060650856,1.72652745889234,0.3619954393059,7749.41826162578,1.62534997777778,0.563906533333333,11.7032629661707
"4","Eagle Lake",0.54065428922381,1.64804171204875,0.443051401237246,7859.92350667718,0.799081928104575,0.762739647058824,8.71275494019341
"5","Flat Rocks",0.55093336092171,1.61812672384315,0.476895574038951,7839.14254978635,1.02805898611111,0.730141527777778,10.1411353540341
"6","Lake Wampanoag",0.636924459434306,1.64479624731759,0.349479925590228,7739.91768427658,0.947472319444444,0.766087930555556,7.66688105097717
"7","Leadmine Mountain",0.469039819796778,1.49892628123074,0.514198027833928,7886.1821982028,1.0099663877551,0.702853068027211,9.55398461983024
"8","Lincoln Woods",0.182334592623249,1.11293548450602,0.677059157662768,7861.37130725619,0.898212375,0.746256319444444,8.59215753786887
"9","Pierpoint Meadow",0.785220984185793,1.87074002187112,0.255437597538495,7779.38285749816,0.766812808988764,0.785470191011236,7.57085542624132
"10","Rutland Brook",0.789603079948318,2.03296088152041,0.245852722559807,7694.78432667129,0.508490833333333,0.835121688888889,5.40498450017118
"11","Wachusett Meadow",0.782866316033687,1.91686123366973,0.248051465995917,7766.96930197516,1.34303164197531,0.670395172839506,10.1709882016085
